idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
1;09.00.00 - Информатика и вычислительная техника;169;30,30%;0,40%;48;0
2;09.00.00 - Информатика и вычислительная техника;109,8;11,10%;0,30%;48;0
3;09.00.00 - Информатика и вычислительная техника;1267,1;28,90%;3,30%;48;0
4;09.00.00 - Информатика и вычислительная техника;632;8,30%;1,70%;48;0
5;09.00.00 - Информатика и вычислительная техника;1573,5;33,40%;4,10%;48;0
6;09.00.00 - Информатика и вычислительная техника;356;4,10%;0,90%;48;0
7;09.00.00 - Информатика и вычислительная техника;1889,4;22,70%;4,90%;48;0
8;09.00.00 - Информатика и вычислительная техника;2199;26,10%;5,70%;48;0
9;09.00.00 - Информатика и вычислительная техника;1818;4,90%;4,70%;48;0
10;09.00.00 - Информатика и вычислительная техника;783,5;13,30%;2,00%;48;0
11;09.00.00 - Информатика и вычислительная техника;181;0,80%;0,50%;48;0
12;09.00.00 - Информатика и вычислительная техника;1260;7,30%;3,30%;48;0
14;09.00.00 - Информатика и вычислительная техника;1767,5;10,80%;4,60%;48;0
15;09.00.00 - Информатика и вычислительная техника;428,2;7,00%;1,10%;48;0
17;09.00.00 - Информатика и вычислительная техника;1507;32,80%;3,90%;48;0
18;09.00.00 - Информатика и вычислительная техника;647;6,00%;1,70%;48;0
19;09.00.00 - Информатика и вычислительная техника;425,7;4,10%;1,10%;48;0
20;09.00.00 - Информатика и вычислительная техника;761;10,00%;2,00%;48;0
21;09.00.00 - Информатика и вычислительная техника;321;5,00%;0,80%;48;0
22;09.00.00 - Информатика и вычислительная техника;8 243,30;31,30%;21,50%;48;0
23;09.00.00 - Информатика и вычислительная техника;135;4,70%;0,40%;48;0
24;09.00.00 - Информатика и вычислительная техника;3646;16,20%;9,50%;48;0
25;09.00.00 - Информатика и вычислительная техника;398;12,60%;1,00%;48;0
26;09.00.00 - Информатика и вычислительная техника;399,3;9,00%;1,00%;48;0
27;09.00.00 - Информатика и вычислительная техника;350,6;13,00%;0,90%;48;0
28;09.00.00 - Информатика и вычислительная техника;1489,9;10,90%;3,90%;48;0
29;09.00.00 - Информатика и вычислительная техника;186,5;7,10%;0,50%;48;0
