idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
3;27.00.00 - Управление в технических системах;111,7;2,60%;1,30%;27;0
4;27.00.00 - Управление в технических системах;235;3,10%;2,80%;27;0
5;27.00.00 - Управление в технических системах;188;4,00%;2,20%;27;0
6;27.00.00 - Управление в технических системах;286;3,30%;3,40%;27;0
7;27.00.00 - Управление в технических системах;567,5;6,80%;6,80%;27;0
8;27.00.00 - Управление в технических системах;46;0,60%;0,60%;27;0
9;27.00.00 - Управление в технических системах;89;0,20%;1,10%;27;0
10;27.00.00 - Управление в технических системах;86;1,50%;1,00%;27;0
11;27.00.00 - Управление в технических системах;295,8;1,20%;3,50%;27;0
12;27.00.00 - Управление в технических системах;578,7;3,40%;6,90%;27;0
14;27.00.00 - Управление в технических системах;1193;7,30%;14,20%;27;0
17;27.00.00 - Управление в технических системах;321;7,00%;3,80%;27;0
18;27.00.00 - Управление в технических системах;210;1,90%;2,50%;27;0
19;27.00.00 - Управление в технических системах;76;0,70%;0,90%;27;0
20;27.00.00 - Управление в технических системах;171;2,30%;2,00%;27;0
21;27.00.00 - Управление в технических системах;154;2,40%;1,80%;27;0
22;27.00.00 - Управление в технических системах;975,2;3,70%;11,60%;27;0
24;27.00.00 - Управление в технических системах;1501;6,70%;17,90%;27;0
26;27.00.00 - Управление в технических системах;240,6;5,40%;2,90%;27;0
27;27.00.00 - Управление в технических системах;106,8;4,00%;1,30%;27;0
28;27.00.00 - Управление в технических системах;412;3,00%;4,90%;27;0
