idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
3;15.00.00 - Машиностроение;94,7;2,20%;0,90%;20;0
6;15.00.00 - Машиностроение;632;7,20%;6,10%;20;0
7;15.00.00 - Машиностроение;768;9,20%;7,40%;20;0
8;15.00.00 - Машиностроение;464;5,50%;4,50%;20;0
10;15.00.00 - Машиностроение;155;2,60%;1,50%;20;0
11;15.00.00 - Машиностроение;119,5;0,50%;1,20%;20;0
12;15.00.00 - Машиностроение;149,7;0,90%;1,40%;20;0
14;15.00.00 - Машиностроение;167;1,00%;1,60%;20;0
15;15.00.00 - Машиностроение;119;1,90%;1,10%;20;0
17;15.00.00 - Машиностроение;1961;42,70%;18,80%;20;0
18;15.00.00 - Машиностроение;137;1,30%;1,30%;20;0
19;15.00.00 - Машиностроение;48;0,50%;0,50%;20;0
20;15.00.00 - Машиностроение;275,4;3,60%;2,70%;20;0
21;15.00.00 - Машиностроение;153;2,40%;1,50%;20;0
22;15.00.00 - Машиностроение;896;3,40%;8,60%;20;0
24;15.00.00 - Машиностроение;3537;15,70%;34,00%;20;0
26;15.00.00 - Машиностроение;193,3;4,40%;1,90%;20;0
27;15.00.00 - Машиностроение;86,7;3,20%;0,80%;20;0
28;15.00.00 - Машиностроение;394;2,90%;3,80%;20;0
