idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
3;01.00.00 - Математика и механика;85;1,90%;0,50%;29;0
4;01.00.00 - Математика и механика;1051;13,70%;6,60%;29;0
5;01.00.00 - Математика и механика;153;3,20%;1,00%;29;0
6;01.00.00 - Математика и механика;119;1,40%;0,70%;29;0
7;01.00.00 - Математика и механика;195;2,30%;1,20%;29;0
8;01.00.00 - Математика и механика;365;4,30%;2,30%;29;0
9;01.00.00 - Математика и механика;3289,3;8,90%;20,60%;29;0
10;01.00.00 - Математика и механика;209;3,60%;1,30%;29;0
11;01.00.00 - Математика и механика;610;2,60%;3,80%;29;0
12;01.00.00 - Математика и механика;100;0,60%;0,60%;29;0
14;01.00.00 - Математика и механика;1033,3;6,30%;6,50%;29;0
15;01.00.00 - Математика и механика;99;1,60%;0,60%;29;0
18;01.00.00 - Математика и механика;194;1,80%;1,20%;29;0
20;01.00.00 - Математика и механика;126;1,70%;0,80%;29;0
22;01.00.00 - Математика и механика;960;3,60%;6,00%;29;0
23;01.00.00 - Математика и механика;69;2,40%;0,40%;29;0
24;01.00.00 - Математика и механика;789;3,50%;4,90%;29;0
28;01.00.00 - Математика и механика;572;4,20%;3,60%;29;0
29;01.00.00 - Математика и механика;44;1,70%;0,30%;29;0
