idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;42.00.00 - Средства массовой информации и информационно-библиотечное дело;6,6;0,70%;0,00%;47;0
3;42.00.00 - Средства массовой информации и информационно-библиотечное дело;57;1,30%;0,20%;47;0
6;42.00.00 - Средства массовой информации и информационно-библиотечное дело;2,5;0,00%;0,00%;47;0
7;42.00.00 - Средства массовой информации и информационно-библиотечное дело;781,9;9,40%;3,20%;47;0
9;42.00.00 - Средства массовой информации и информационно-библиотечное дело;3166;8,50%;12,80%;47;0
11;42.00.00 - Средства массовой информации и информационно-библиотечное дело;1740,6;7,30%;7,10%;47;0
12;42.00.00 - Средства массовой информации и информационно-библиотечное дело;240;1,40%;1,00%;47;0
14;42.00.00 - Средства массовой информации и информационно-библиотечное дело;305,8;1,90%;1,20%;47;0
19;42.00.00 - Средства массовой информации и информационно-библиотечное дело;102;1,00%;0,40%;47;0
20;42.00.00 - Средства массовой информации и информационно-библиотечное дело;793,3;10,40%;3,20%;47;0
27;42.00.00 - Средства массовой информации и информационно-библиотечное дело;159;5,90%;0,60%;47;0
28;42.00.00 - Средства массовой информации и информационно-библиотечное дело;288,7;2,10%;1,20%;47;0
