"idugns";"nameUgns";"shareStud";"shareUgnsFromTotalStud";"shareFromTotalStud";"numberUniverImplEducation";"numberOfBranches"
1;"02.00.00 - Компьютерные и информационные науки";"170";"30,50%";"7,60%";"12";"0"
1;"03.00.00 - Физика и астрономия";"61";"11,00%";"0,70%";"8";"0"
1;"09.00.00 - Информатика и вычислительная техника";"169";"30,30%";"0,40%";"48";"0"
1;"19.00.00 - Промышленная экология и биотехнологии";"82";"14,70%";"1,50%";"13";"1"
1;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"37";"6,60%";"0,40%";"11";"0"
1;"22.00.00 - Технологии материалов";"38";"6,80%";"1,30%";"11";"0"
2;"07.00.00 - Архитектура";"178,5";"18,10%";"2,80%";"10";"1"
2;"08.00.00 - Техника и технологии строительства";"151,1";"15,30%";"1,50%";"9";"0"
2;"09.00.00 - Информатика и вычислительная техника";"109,8";"11,10%";"0,30%";"48";"0"
2;"37.00.00 - Психологические науки";"74,8";"7,60%";"0,60%";"44";"0"
2;"38.00.00 - Экономика и управление";"27,8";"2,80%";"0,00%";"96";"1"
2;"40.00.00 - Юриспруденция";"25,1";"2,50%";"0,10%";"68";"0"
2;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"6,6";"0,70%";"0,00%";"47";"0"
2;"43.00.00 - Сервис и туризм";"27,1";"2,70%";"0,60%";"29";"0"
2;"44.00.00 - Образование и педагогические науки";"77,5";"7,80%";"0,30%";"32";"0"
2;"45.00.00 - Языкознание и литературоведение";"100";"10,10%";"0,50%";"37";"0"
2;"52.00.00 - Сценические искусства и литературное творчество";"29";"2,90%";"0,70%";"20";"0"
2;"54.00.00 - Изобразительное и прикладные виды искусств";"181,4";"18,40%";"1,50%";"35";"1"
3;"01.00.00 - Математика и механика";"85";"1,90%";"0,50%";"29";"0"
3;"02.00.00 - Компьютерные и информационные науки";"169";"3,90%";"7,50%";"12";"0"
3;"09.00.00 - Информатика и вычислительная техника";"1267,1";"28,90%";"3,30%";"48";"0"
3;"10.00.00 - Информационная безопасность";"530";"12,10%";"4,70%";"19";"0"
3;"11.00.00 - Электроника, радиотехника и системы связи";"1985,4";"45,30%";"18,70%";"11";"0"
3;"15.00.00 - Машиностроение";"94,7";"2,20%";"0,90%";"20";"0"
3;"27.00.00 - Управление в технических системах";"111,7";"2,60%";"1,30%";"27";"0"
3;"38.00.00 - Экономика и управление";"82,8";"1,90%";"0,10%";"96";"1"
3;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"57";"1,30%";"0,20%";"47";"0"
4;"01.00.00 - Математика и механика";"1051";"13,70%";"6,60%";"29";"0"
4;"03.00.00 - Физика и астрономия";"5373";"70,10%";"59,70%";"8";"0"
4;"09.00.00 - Информатика и вычислительная техника";"632";"8,30%";"1,70%";"48";"0"
4;"10.00.00 - Информационная безопасность";"57";"0,70%";"0,50%";"19";"0"
4;"14.00.00 - Ядерная энергетика и технологии";"8";"0,10%";"0,30%";"4";"0"
4;"16.00.00 - Физико-технические науки и технологии";"50";"0,70%";"4,10%";"7";"0"
4;"19.00.00 - Промышленная экология и биотехнологии";"257";"3,40%";"4,70%";"13";"1"
4;"27.00.00 - Управление в технических системах";"235";"3,10%";"2,80%";"27";"0"
4;"38.00.00 - Экономика и управление";"1";"0,00%";"0,00%";"96";"1"
5;"01.00.00 - Математика и механика";"153";"3,20%";"1,00%";"29";"0"
5;"09.00.00 - Информатика и вычислительная техника";"1573,5";"33,40%";"4,10%";"48";"0"
5;"10.00.00 - Информационная безопасность";"158";"3,40%";"1,40%";"19";"0"
5;"11.00.00 - Электроника, радиотехника и системы связи";"1538";"32,60%";"14,50%";"11";"0"
5;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"235";"5,00%";"5,40%";"9";"0"
5;"20.00.00 - Техносферная безопасность и природообустройство";"81";"1,70%";"2,30%";"21";"0"
5;"22.00.00 - Технологии материалов";"110";"2,30%";"3,90%";"11";"0"
5;"27.00.00 - Управление в технических системах";"188";"4,00%";"2,20%";"27";"0"
5;"28.00.00 - Нанотехнологии и наноматериалы";"38";"0,80%";"3,30%";"9";"0"
5;"38.00.00 - Экономика и управление";"282,2";"6,00%";"0,30%";"96";"1"
5;"40.00.00 - Юриспруденция";"51";"1,10%";"0,10%";"68";"0"
5;"45.00.00 - Языкознание и литературоведение";"241";"5,10%";"1,10%";"37";"0"
5;"54.00.00 - Изобразительное и прикладные виды искусств";"68";"1,40%";"0,50%";"35";"1"
6;"01.00.00 - Математика и механика";"119";"1,40%";"0,70%";"29";"0"
6;"05.00.00 - Науки о земле";"214";"2,50%";"3,80%";"16";"0"
6;"09.00.00 - Информатика и вычислительная техника";"356";"4,10%";"0,90%";"48";"0"
6;"10.00.00 - Информационная безопасность";"445";"5,10%";"3,90%";"19";"0"
6;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"136";"1,60%";"3,10%";"9";"0"
6;"13.00.00 - Электро- и теплоэнергетика";"143";"1,60%";"1,70%";"14";"0"
6;"15.00.00 - Машиностроение";"632";"7,20%";"6,10%";"20";"0"
6;"18.00.00 - Химические технологии";"1047,5";"12,00%";"13,90%";"11";"0"
6;"20.00.00 - Техносферная безопасность и природообустройство";"139";"1,60%";"3,90%";"21";"0"
6;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"3214,8";"36,80%";"33,20%";"11";"0"
6;"27.00.00 - Управление в технических системах";"286";"3,30%";"3,40%";"27";"0"
6;"38.00.00 - Экономика и управление";"1285,8";"14,70%";"1,20%";"96";"1"
6;"40.00.00 - Юриспруденция";"726,8";"8,30%";"1,70%";"68";"0"
6;"41.00.00 - Политические науки и регионоведение";"0,3";"0,00%";"0,00%";"28";"0"
6;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"2,5";"0,00%";"0,00%";"47";"0"
7;"01.00.00 - Математика и механика";"195";"2,30%";"1,20%";"29";"0"
7;"08.00.00 - Техника и технологии строительства";"225,1";"2,70%";"2,20%";"9";"0"
7;"09.00.00 - Информатика и вычислительная техника";"1889,4";"22,70%";"4,90%";"48";"0"
7;"10.00.00 - Информационная безопасность";"300";"3,60%";"2,60%";"19";"0"
7;"11.00.00 - Электроника, радиотехника и системы связи";"147";"1,80%";"1,40%";"11";"0"
7;"13.00.00 - Электро- и теплоэнергетика";"500,6";"6,00%";"5,90%";"14";"0"
7;"15.00.00 - Машиностроение";"768";"9,20%";"7,40%";"20";"0"
7;"16.00.00 - Физико-технические науки и технологии";"113";"1,40%";"9,30%";"7";"0"
7;"18.00.00 - Химические технологии";"158";"1,90%";"2,10%";"11";"0"
7;"19.00.00 - Промышленная экология и биотехнологии";"226,8";"2,70%";"4,20%";"13";"1"
7;"20.00.00 - Техносферная безопасность и природообустройство";"220,1";"2,60%";"6,20%";"21";"0"
7;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"76,1";"0,90%";"0,80%";"11";"0"
7;"22.00.00 - Технологии материалов";"247,8";"3,00%";"8,70%";"11";"0"
7;"23.00.00 - Техника и технологии наземного транспорта";"494,2";"5,90%";"4,40%";"12";"0"
7;"27.00.00 - Управление в технических системах";"567,5";"6,80%";"6,80%";"27";"0"
7;"29.00.00 - Технологии легкой промышленности";"382,4";"4,60%";"17,10%";"7";"0"
7;"38.00.00 - Экономика и управление";"330,2";"4,00%";"0,30%";"96";"1"
7;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"781,9";"9,40%";"3,20%";"47";"0"
7;"54.00.00 - Изобразительное и прикладные виды искусств";"700,5";"8,40%";"5,60%";"35";"1"
8;"01.00.00 - Математика и механика";"365";"4,30%";"2,30%";"29";"0"
8;"03.00.00 - Физика и астрономия";"188";"2,20%";"2,10%";"8";"0"
8;"09.00.00 - Информатика и вычислительная техника";"2199";"26,10%";"5,70%";"48";"0"
8;"11.00.00 - Электроника, радиотехника и системы связи";"304";"3,60%";"2,90%";"11";"0"
8;"13.00.00 - Электро- и теплоэнергетика";"191";"2,30%";"2,30%";"14";"0"
8;"15.00.00 - Машиностроение";"464";"5,50%";"4,50%";"20";"0"
8;"16.00.00 - Физико-технические науки и технологии";"1";"0,00%";"0,10%";"7";"0"
8;"20.00.00 - Техносферная безопасность и природообустройство";"60";"0,70%";"1,70%";"21";"0"
8;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"1141,9";"13,50%";"11,80%";"11";"0"
8;"22.00.00 - Технологии материалов";"1081";"12,80%";"38,10%";"11";"0"
8;"23.00.00 - Техника и технологии наземного транспорта";"39";"0,50%";"0,40%";"12";"0"
8;"27.00.00 - Управление в технических системах";"46";"0,60%";"0,60%";"27";"0"
8;"28.00.00 - Нанотехнологии и наноматериалы";"265";"3,10%";"22,60%";"9";"0"
8;"38.00.00 - Экономика и управление";"1211";"14,40%";"1,20%";"96";"1"
8;"45.00.00 - Языкознание и литературоведение";"880";"10,40%";"3,90%";"37";"0"
9;"01.00.00 - Математика и механика";"3289,3";"8,90%";"20,60%";"29";"0"
9;"03.00.00 - Физика и астрономия";"257";"0,70%";"2,90%";"8";"0"
9;"04.00.00 - Химия";"101";"0,30%";"3,10%";"7";"0"
9;"05.00.00 - Науки о земле";"81";"0,20%";"1,40%";"16";"0"
9;"06.00.00 - Биологические науки";"157";"0,40%";"4,60%";"11";"0"
9;"07.00.00 - Архитектура";"387";"1,00%";"6,10%";"10";"1"
9;"09.00.00 - Информатика и вычислительная техника";"1818";"4,90%";"4,70%";"48";"0"
9;"10.00.00 - Информационная безопасность";"692";"1,90%";"6,10%";"19";"0"
9;"11.00.00 - Электроника, радиотехника и системы связи";"398";"1,10%";"3,80%";"11";"0"
9;"19.00.00 - Промышленная экология и биотехнологии";"8";"0,00%";"0,20%";"13";"1"
9;"27.00.00 - Управление в технических системах";"89";"0,20%";"1,10%";"27";"0"
9;"37.00.00 - Психологические науки";"1915";"5,20%";"14,60%";"44";"0"
9;"38.00.00 - Экономика и управление";"11 346,00";"30,60%";"10,90%";"96";"1"
9;"39.00.00 - Социология и социальная работа";"940";"2,50%";"16,50%";"29";"0"
9;"40.00.00 - Юриспруденция";"2170";"5,90%";"5,00%";"68";"0"
9;"41.00.00 - Политические науки и регионоведение";"2205,3";"6,00%";"12,90%";"28";"0"
9;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"3166";"8,50%";"12,80%";"47";"0"
9;"44.00.00 - Образование и педагогические науки";"139";"0,40%";"0,60%";"32";"0"
9;"45.00.00 - Языкознание и литературоведение";"2314,8";"6,20%";"10,30%";"37";"0"
9;"46.00.00 - История и археология";"544,8";"1,50%";"14,40%";"16";"0"
9;"47.00.00 - Философия, этика и религиоведение";"342";"0,90%";"22,30%";"10";"0"
9;"50.00.00 - Искусствознание";"686";"1,90%";"28,00%";"13";"0"
9;"51.00.00 - Культуроведение и социокультурные проекты";"334";"0,90%";"25,50%";"13";"0"
9;"54.00.00 - Изобразительное и прикладные виды искусств";"2695";"7,30%";"21,60%";"35";"1"
9;"58.00.00 - Востоковедение и африканистика";"993";"2,70%";"37,30%";"6";"0"
10;"01.00.00 - Математика и механика";"209";"3,60%";"1,30%";"29";"0"
10;"03.00.00 - Физика и астрономия";"521";"8,90%";"5,80%";"8";"0"
10;"04.00.00 - Химия";"4";"0,10%";"0,10%";"7";"0"
10;"06.00.00 - Биологические науки";"5";"0,10%";"0,20%";"11";"0"
10;"09.00.00 - Информатика и вычислительная техника";"783,5";"13,30%";"2,00%";"48";"0"
10;"10.00.00 - Информационная безопасность";"705";"12,00%";"6,20%";"19";"0"
10;"11.00.00 - Электроника, радиотехника и системы связи";"210";"3,60%";"2,00%";"11";"0"
10;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"418";"7,10%";"9,60%";"9";"0"
10;"13.00.00 - Электро- и теплоэнергетика";"5";"0,10%";"0,10%";"14";"0"
10;"14.00.00 - Ядерная энергетика и технологии";"1563";"26,60%";"54,70%";"4";"0"
10;"15.00.00 - Машиностроение";"155";"2,60%";"1,50%";"20";"0"
10;"16.00.00 - Физико-технические науки и технологии";"125";"2,10%";"10,30%";"7";"0"
10;"18.00.00 - Химические технологии";"11";"0,20%";"0,20%";"11";"0"
10;"22.00.00 - Технологии материалов";"114";"1,90%";"4,00%";"11";"0"
10;"27.00.00 - Управление в технических системах";"86";"1,50%";"1,00%";"27";"0"
10;"31.00.00 - Клиническая медицина";"54";"0,90%";"0,20%";"8";"1"
10;"38.00.00 - Экономика и управление";"670";"11,40%";"0,60%";"96";"1"
10;"41.00.00 - Политические науки и регионоведение";"242";"4,10%";"1,40%";"28";"0"
11;"01.00.00 - Математика и механика";"610";"2,60%";"3,80%";"29";"0"
11;"02.00.00 - Компьютерные и информационные науки";"471";"2,00%";"20,90%";"12";"0"
11;"03.00.00 - Физика и астрономия";"159";"0,70%";"1,80%";"8";"0"
11;"04.00.00 - Химия";"261,8";"1,10%";"8,00%";"7";"0"
11;"05.00.00 - Науки о земле";"552,4";"2,30%";"9,80%";"16";"0"
11;"06.00.00 - Биологические науки";"57";"0,20%";"1,70%";"11";"0"
11;"07.00.00 - Архитектура";"676,3";"2,80%";"10,70%";"10";"1"
11;"08.00.00 - Техника и технологии строительства";"441";"1,90%";"4,20%";"9";"0"
11;"09.00.00 - Информатика и вычислительная техника";"181";"0,80%";"0,50%";"48";"0"
11;"13.00.00 - Электро- и теплоэнергетика";"146";"0,60%";"1,70%";"14";"0"
11;"15.00.00 - Машиностроение";"119,5";"0,50%";"1,20%";"20";"0"
11;"18.00.00 - Химические технологии";"78,7";"0,30%";"1,00%";"11";"0"
11;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"658,2";"2,80%";"6,80%";"11";"0"
11;"23.00.00 - Техника и технологии наземного транспорта";"119";"0,50%";"1,10%";"12";"0"
11;"27.00.00 - Управление в технических системах";"295,8";"1,20%";"3,50%";"27";"0"
11;"28.00.00 - Нанотехнологии и наноматериалы";"112";"0,50%";"9,60%";"9";"0"
11;"31.00.00 - Клиническая медицина";"5394";"22,70%";"14,80%";"8";"1"
11;"33.00.00 - Фармация";"675,8";"2,80%";"25,10%";"7";"1"
11;"34.00.00 - Сестринское дело";"231";"1,00%";"57,30%";"3";"0"
11;"35.00.00 - Сельское, лесное и рыбное хозяйство";"331,2";"1,40%";"7,70%";"5";"0"
11;"36.00.00 - Ветеринария и зоотехния";"628,3";"2,60%";"13,90%";"4";"0"
11;"37.00.00 - Психологические науки";"406,8";"1,70%";"3,10%";"44";"0"
11;"38.00.00 - Экономика и управление";"2709,5";"11,40%";"2,60%";"96";"1"
11;"39.00.00 - Социология и социальная работа";"205,8";"0,90%";"3,60%";"29";"0"
11;"40.00.00 - Юриспруденция";"1440,5";"6,10%";"3,30%";"68";"0"
11;"41.00.00 - Политические науки и регионоведение";"1676,8";"7,00%";"9,80%";"28";"0"
11;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"1740,6";"7,30%";"7,10%";"47";"0"
11;"43.00.00 - Сервис и туризм";"646,4";"2,70%";"15,00%";"29";"0"
11;"44.00.00 - Образование и педагогические науки";"140";"0,60%";"0,60%";"32";"0"
11;"45.00.00 - Языкознание и литературоведение";"2187,4";"9,20%";"9,80%";"37";"0"
11;"46.00.00 - История и археология";"146";"0,60%";"3,90%";"16";"0"
11;"47.00.00 - Философия, этика и религиоведение";"159";"0,70%";"10,40%";"10";"0"
11;"50.00.00 - Искусствознание";"160";"0,70%";"6,50%";"13";"0"
12;"01.00.00 - Математика и механика";"100";"0,60%";"0,60%";"29";"0"
12;"08.00.00 - Техника и технологии строительства";"710";"4,10%";"6,80%";"9";"0"
12;"09.00.00 - Информатика и вычислительная техника";"1260";"7,30%";"3,30%";"48";"0"
12;"10.00.00 - Информационная безопасность";"498";"2,90%";"4,40%";"19";"0"
12;"11.00.00 - Электроника, радиотехника и системы связи";"44,4";"0,30%";"0,40%";"11";"0"
12;"13.00.00 - Электро- и теплоэнергетика";"256,9";"1,50%";"3,00%";"14";"0"
12;"15.00.00 - Машиностроение";"149,7";"0,90%";"1,40%";"20";"0"
12;"20.00.00 - Техносферная безопасность и природообустройство";"219,9";"1,30%";"6,20%";"21";"0"
12;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"89";"0,50%";"0,90%";"11";"0"
12;"23.00.00 - Техника и технологии наземного транспорта";"6529,8";"37,80%";"57,80%";"12";"0"
12;"26.00.00 - Техника и технологии кораблестроения и водного транспорта";"308,9";"1,80%";"100,00%";"1";"0"
12;"27.00.00 - Управление в технических системах";"578,7";"3,40%";"6,90%";"27";"0"
12;"37.00.00 - Психологические науки";"47";"0,30%";"0,40%";"44";"0"
12;"38.00.00 - Экономика и управление";"4363,1";"25,30%";"4,20%";"96";"1"
12;"40.00.00 - Юриспруденция";"1324,3";"7,70%";"3,10%";"68";"0"
12;"41.00.00 - Политические науки и регионоведение";"245";"1,40%";"1,40%";"28";"0"
12;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"240";"1,40%";"1,00%";"47";"0"
12;"43.00.00 - Сервис и туризм";"116,8";"0,70%";"2,70%";"29";"0"
12;"45.00.00 - Языкознание и литературоведение";"182";"1,10%";"0,80%";"37";"0"
12;"46.00.00 - История и археология";"11,7";"0,10%";"0,30%";"16";"0"
13;"05.00.00 - Науки о земле";"130";"5,10%";"2,30%";"16";"0"
13;"07.00.00 - Архитектура";"623,8";"24,60%";"9,90%";"10";"1"
13;"20.00.00 - Техносферная безопасность и природообустройство";"56";"2,20%";"1,60%";"21";"0"
13;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"1209,9";"47,60%";"12,50%";"11";"0"
13;"35.00.00 - Сельское, лесное и рыбное хозяйство";"169";"6,70%";"3,90%";"5";"0"
13;"38.00.00 - Экономика и управление";"136,8";"5,40%";"0,10%";"96";"1"
13;"40.00.00 - Юриспруденция";"199,6";"7,90%";"0,50%";"68";"0"
13;"54.00.00 - Изобразительное и прикладные виды искусств";"15";"0,60%";"0,10%";"35";"1"
14;"01.00.00 - Математика и механика";"1033,3";"6,30%";"6,50%";"29";"0"
14;"02.00.00 - Компьютерные и информационные науки";"276";"1,70%";"12,30%";"12";"0"
14;"05.00.00 - Науки о земле";"129";"0,80%";"2,30%";"16";"0"
14;"09.00.00 - Информатика и вычислительная техника";"1767,5";"10,80%";"4,60%";"48";"0"
14;"10.00.00 - Информационная безопасность";"275";"1,70%";"2,40%";"19";"0"
14;"11.00.00 - Электроника, радиотехника и системы связи";"1333,5";"8,20%";"12,60%";"11";"0"
14;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"420";"2,60%";"9,60%";"9";"0"
14;"13.00.00 - Электро- и теплоэнергетика";"148";"0,90%";"1,80%";"14";"0"
14;"15.00.00 - Машиностроение";"167";"1,00%";"1,60%";"20";"0"
14;"20.00.00 - Техносферная безопасность и природообустройство";"177";"1,10%";"5,00%";"21";"0"
14;"22.00.00 - Технологии материалов";"389,5";"2,40%";"13,70%";"11";"0"
14;"24.00.00 - Авиационная и ракетно-космическая техника";"7 304,30";"44,70%";"66,00%";"2";"0"
14;"27.00.00 - Управление в технических системах";"1193";"7,30%";"14,20%";"27";"0"
14;"28.00.00 - Нанотехнологии и наноматериалы";"87";"0,50%";"7,40%";"9";"0"
14;"38.00.00 - Экономика и управление";"974,5";"6,00%";"0,90%";"96";"1"
14;"39.00.00 - Социология и социальная работа";"4";"0,00%";"0,10%";"29";"0"
14;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"305,8";"1,90%";"1,20%";"47";"0"
14;"43.00.00 - Сервис и туризм";"0,5";"0,00%";"0,00%";"29";"0"
14;"45.00.00 - Языкознание и литературоведение";"353,3";"2,20%";"1,60%";"37";"0"
15;"01.00.00 - Математика и механика";"99";"1,60%";"0,60%";"29";"0"
15;"08.00.00 - Техника и технологии строительства";"1239,4";"20,10%";"11,90%";"9";"0"
15;"09.00.00 - Информатика и вычислительная техника";"428,2";"7,00%";"1,10%";"48";"0"
15;"13.00.00 - Электро- и теплоэнергетика";"190";"3,10%";"2,30%";"14";"0"
15;"15.00.00 - Машиностроение";"119";"1,90%";"1,10%";"20";"0"
15;"20.00.00 - Техносферная безопасность и природообустройство";"92";"1,50%";"2,60%";"21";"0"
15;"23.00.00 - Техника и технологии наземного транспорта";"2385";"38,70%";"21,10%";"12";"0"
15;"38.00.00 - Экономика и управление";"1556,4";"25,30%";"1,50%";"96";"1"
15;"43.00.00 - Сервис и туризм";"46,9";"0,80%";"1,10%";"29";"0"
16;"07.00.00 - Архитектура";"2232,3";"100,00%";"35,40%";"10";"1"
17;"09.00.00 - Информатика и вычислительная техника";"1507";"32,80%";"3,90%";"48";"0"
