idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;45.00.00 - языкознание и литературоведение;100;10,10%;0,50%;37;0
5;45.00.00 - языкознание и литературоведение;241;5,10%;1,10%;37;0
8;45.00.00 - языкознание и литературоведение;880;10,40%;3,90%;37;0
9;45.00.00 - языкознание и литературоведение;2314,8;6,20%;10,30%;37;0
11;45.00.00 - языкознание и литературоведение;2187,4;9,20%;9,80%;37;0
12;45.00.00 - языкознание и литературоведение;182;1,10%;0,80%;37;0
14;45.00.00 - языкознание и литературоведение;353,3;2,20%;1,60%;37;0
20;45.00.00 - языкознание и литературоведение;320,5;4,20%;1,40%;37;0
21;45.00.00 - языкознание и литературоведение;19,3;0,30%;0,10%;37;0
24;45.00.00 - языкознание и литературоведение;188;0,80%;0,80%;37;0
28;45.00.00 - языкознание и литературоведение;152;1,10%;0,70%;37;0
