idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
2;40.00.00 - Юриспруденция;25,1;2,50%;0,10%;68;0
5;40.00.00 - Юриспруденция;51;1,10%;0,10%;68;0
6;40.00.00 - Юриспруденция;726,8;8,30%;1,70%;68;0
9;40.00.00 - Юриспруденция;2170;5,90%;5,00%;68;0
11;40.00.00 - Юриспруденция;1440,5;6,10%;3,30%;68;0
12;40.00.00 - Юриспруденция;1324,3;7,70%;3,10%;68;0
13;40.00.00 - Юриспруденция;199,6;7,90%;0,50%;68;0
20;40.00.00 - Юриспруденция;221,8;2,90%;0,50%;68;0
22;40.00.00 - Юриспруденция;1059,1;4,00%;2,50%;68;0
24;40.00.00 - Юриспруденция;397;1,80%;0,90%;68;0
27;40.00.00 - Юриспруденция;106,4;4,00%;0,30%;68;0
