idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
6;05.00.00 - Науки о земле;214;2,50%;3,80%;16;0
9;05.00.00 - Науки о земле;81;0,20%;1,40%;16;0
11;05.00.00 - Науки о земле;552,4;2,30%;9,80%;16;0
13;05.00.00 - Науки о земле;130;5,10%;2,30%;16;0
14;05.00.00 - Науки о земле;129;0,80%;2,30%;16;0
19;05.00.00 - Науки о земле;519;5,00%;9,20%;16;0
21;05.00.00 - Науки о земле;177;2,70%;3,10%;16;0
22;05.00.00 - Науки о земле;74;0,30%;1,30%;16;0
25;05.00.00 - Науки о земле;462;14,60%;8,20%;16;0
27;05.00.00 - Науки о земле;106,1;3,90%;1,90%;16;0
29;05.00.00 - Науки о земле;519,4;19,80%;9,20%;16;0
