idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
3;10.00.00 - Информационная безопасность;530;12,10%;4,70%;19;0
4;10.00.00 - Информационная безопасность;57;0,70%;0,50%;19;0
5;10.00.00 - Информационная безопасность;158;3,40%;1,40%;19;0
6;10.00.00 - Информационная безопасность;445;5,10%;3,90%;19;0
7;10.00.00 - Информационная безопасность;300;3,60%;2,60%;19;0
9;10.00.00 - Информационная безопасность;692;1,90%;6,10%;19;0
10;10.00.00 - Информационная безопасность;705;12,00%;6,20%;19;0
12;10.00.00 - Информационная безопасность;498;2,90%;4,40%;19;0
14;10.00.00 - Информационная безопасность;275;1,70%;2,40%;19;0
22;10.00.00 - Информационная безопасность;3887;14,70%;34,20%;19;0
23;10.00.00 - Информационная безопасность;235;8,20%;2,10%;19;0
24;10.00.00 - Информационная безопасность;1240;5,50%;10,90%;19;0
25;10.00.00 - Информационная безопасность;250;7,90%;2,20%;19;0
28;10.00.00 - Информационная безопасность;770,3;5,60%;6,80%;19;0
