idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
5;20.00.00 - Техносферная безопасность и природообустройство;81;1,70%;2,30%;21;0
6;20.00.00 - Техносферная безопасность и природообустройство;139;1,60%;3,90%;21;0
7;20.00.00 - Техносферная безопасность и природообустройство;220,1;2,60%;6,20%;21;0
8;20.00.00 - Техносферная безопасность и природообустройство;60;0,70%;1,70%;21;0
12;20.00.00 - Техносферная безопасность и природообустройство;219,9;1,30%;6,20%;21;0
13;20.00.00 - Техносферная безопасность и природообустройство;56;2,20%;1,60%;21;0
14;20.00.00 - Техносферная безопасность и природообустройство;177;1,10%;5,00%;21;0
15;20.00.00 - Техносферная безопасность и природообустройство;92;1,50%;2,60%;21;0
17;20.00.00 - Техносферная безопасность и природообустройство;210;4,60%;6,00%;21;0
18;20.00.00 - Техносферная безопасность и природообустройство;139;1,30%;3,90%;21;0
19;20.00.00 - Техносферная безопасность и природообустройство;954;9,20%;27,00%;21;0
20;20.00.00 - Техносферная безопасность и природообустройство;150;2,00%;4,30%;21;0
21;20.00.00 - Техносферная безопасность и природообустройство;140;2,20%;4,00%;21;0
22;20.00.00 - Техносферная безопасность и природообустройство;220;0,80%;6,20%;21;0
23;20.00.00 - Техносферная безопасность и природообустройство;117;4,10%;3,30%;21;0
24;20.00.00 - Техносферная безопасность и природообустройство;251;1,10%;7,10%;21;0
26;20.00.00 - Техносферная безопасность и природообустройство;67,8;1,50%;1,90%;21;0
27;20.00.00 - Техносферная безопасность и природообустройство;37,9;1,40%;1,10%;21;0
29;20.00.00 - Техносферная безопасность и природообустройство;90,2;3,40%;2,60%;21;0
